id,Segment
502,2
503,2
504,3
505,3
506,2
507,1
508,1
509,2
510,1
511,2
512,1
513,2
514,1
515,0
516,1
517,2
518,2
519,3
520,3
521,3
522,2
523,2
524,2
525,3
526,3
527,1
528,2
529,2
530,2
531,0
532,1
533,2
534,3
535,1
536,0
537,1
538,0
539,0
540,3
541,0
542,3
543,3
544,0
545,2
546,2
547,1
548,1
549,0
550,3
551,1
552,3
553,2
554,3
555,1
556,2
557,2
558,0
559,3
560,1
561,1
562,0
563,1
564,3
565,2
566,3
567,1
568,3
569,2
570,2
571,1
572,2
573,3
574,1
575,3
576,3
577,2
578,2
579,0
580,3
581,2
582,3
583,0
584,3
585,1
586,1
587,1
588,1
589,3
590,2
591,1
592,0
593,3
594,2
595,3
596,2
597,3
598,3
599,2
600,0
601,3
602,3
603,3
604,3
605,2
606,1
607,1
608,3
609,3
610,0
611,0
612,3
613,2
614,2
615,0
616,2
617,2
618,0
619,3
620,3
621,1
622,2
623,0
624,2
625,2
626,2
627,3
628,1
629,0
630,2
631,0
632,3
633,2
634,1
635,3
636,3
637,3
638,1
639,3
640,1
641,2
642,3
643,2
644,3
645,3
646,2
647,0
648,2
649,0
650,2
651,1
652,2
653,3
654,2
655,1
656,1
657,3
658,0
659,0
660,1
661,2
662,0
663,2
664,0
665,1
666,3
667,3
668,1
669,0
670,3
671,3
672,2
673,0
674,1
675,1
676,0
677,3
678,1
679,3
680,2
681,0
682,0
683,1
684,1
685,0
686,2
687,1
688,1
689,3
690,3
691,3
692,2
693,0
694,1
695,2
696,0
697,2
698,1
699,3
700,3
701,1
702,3
703,1
704,3
705,3
706,3
707,2
708,1
709,2
710,1
711,0
712,3
713,2
714,3
715,1
716,3
717,3
718,1
719,1
720,2
721,3
722,0
723,1
724,0
725,0
726,0
727,0
728,2
729,2
730,1
731,1
732,0
733,3
734,2
735,3
736,0
737,0
738,2
739,0
740,1
741,0
742,2
743,1
744,1
745,0
746,2
747,0
748,2
749,0
750,1
751,3
752,3
753,3
754,1
755,0
756,2
757,0
758,0
759,3
760,2
761,0
762,3
763,2
764,2
765,1
766,1
767,3
768,3
769,3
770,2
771,2
772,3
773,1
774,1
775,2
776,0
777,2
778,0
779,2
780,1
781,1
782,3
783,0
784,2
785,0
786,1
787,2
788,3
789,0
790,0
791,0
792,2
793,1
794,0
795,2
796,3
797,2
798,2
799,2
800,3
801,3
802,3
803,3
804,1
805,3
806,2
807,3
808,3
809,1
810,0
811,2
812,1
813,1
814,3
815,0
816,2
817,0
818,2
819,3
820,3
821,3
822,1
823,3
824,1
825,1
826,3
827,1
828,3
829,2
830,0
831,3
832,0
833,2
834,2
835,3
836,2
837,3
838,2
839,2
840,1
841,1
842,0
843,3
844,0
845,1
846,1
847,1
848,3
849,3
850,1
851,1
852,3
853,0
854,1
855,0
856,3
857,1
858,1
859,1
860,1
861,2
862,2
863,2
864,3
865,2
866,0
867,3
868,1
869,3
870,2
871,3
872,3
873,2
874,3
875,2
876,3
877,3
878,1
879,1
880,1
881,3
882,3
883,1
884,2
885,2
886,3
887,3
888,3
889,3
890,3
891,2
892,1
893,0
894,2
895,2
896,1
897,3
898,1
899,3
900,2
901,1
902,3
903,1
904,2
905,3
906,3
907,2
908,1
909,2
910,0
911,0
912,3
913,2
914,2
915,2
916,3
917,2
918,0
919,2
920,2
921,2
922,2
923,1
924,0
925,1
926,1
927,2
928,1
929,1
930,0
931,1
932,3
933,2
934,1
935,0
936,2
937,3
938,3
939,1
940,0
941,1
942,2
943,3
944,2
945,2
946,0
947,2
948,0
949,0
950,0
951,3
952,1
953,0
954,1
955,2
956,0
957,1
958,3
959,3
960,1
961,1
962,0
963,3
964,0
965,1
966,3
967,2
968,3
969,2
970,3
971,0
972,3
973,0
974,0
975,3
976,1
977,2
978,3
979,0
980,3
981,2
982,3
983,1
984,0
985,1
986,2
987,1
988,0
989,3
990,3
991,3
992,2
993,2
994,1
995,1
996,1
997,0
998,1
999,1
1000,3
1001,1
1002,1
1003,0
1004,0
1005,3
1006,2
1007,0
1008,3
1009,0
1010,0
1011,1
1012,2
1013,0
1014,3
1015,1
1016,2
1017,3
1018,1
1019,1
1020,1
1021,3
1022,1
1023,2
1024,1
1025,2
1026,3
1027,2
1028,2
1029,0
1030,0
1031,1
1032,1
1033,2
1034,1
1035,2
1036,2
1037,1
1038,0
1039,1
1040,2
1041,2
1042,2
1043,1
1044,1
1045,1
1046,2
1047,1
1048,1
1049,0
1050,0
1051,2
1052,0
1053,0
1054,3
1055,0
1056,1
1057,2
1058,3
1059,2
1060,3
1061,3
1062,2
1063,2
1064,3
1065,2
1066,3
1067,1
1068,1
1069,1
1070,2
1071,1
1072,3
1073,2
1074,1
1075,1
1076,2
1077,0
1078,2
1079,2
1080,3
1081,1
1082,3
1083,1
1084,2
1085,0
1086,2
1087,3
1088,3
1089,0
1090,2
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,2
1098,3
1099,3
1100,2
1101,1
1102,2
1103,1
1104,3
1105,2
1106,2
1107,3
1108,3
1109,2
1110,2
1111,2
1112,1
1113,1
1114,1
1115,3
1116,3
1117,2
1118,3
1119,2
1120,3
1121,2
1122,2
1123,2
1124,3
1125,3
1126,3
1127,3
1128,3
1129,1
1130,1
1131,3
1132,0
1133,3
1134,1
1135,1
1136,3
1137,1
1138,3
1139,0
1140,3
1141,0
1142,1
1143,1
1144,1
1145,2
1146,0
1147,3
1148,0
1149,1
1150,3
1151,2
1152,1
1153,1
1154,2
1155,1
1156,3
1157,1
1158,1
1159,1
1160,2
1161,1
1162,3
1163,3
1164,1
1165,2
1166,3
1167,0
1168,1
1169,1
1170,2
1171,3
1172,1
1173,2
1174,2
1175,3
1176,1
1177,3
1178,1
1179,3
1180,1
1181,0
1182,3
1183,3
1184,2
1185,2
1186,1
1187,2
1188,2
1189,1
1190,2
1191,0
1192,3
1193,3
1194,2
1195,0
1196,1
1197,3
1198,1
1199,2
1200,1
1201,1
1202,0
1203,2
1204,3
1205,2
1206,3
1207,1
1208,0
1209,0
1210,1
1211,0
1212,3
1213,2
1214,2
1215,3
1216,0
1217,0
1218,3
1219,2
1220,3
1221,1
1222,1
1223,0
1224,2
1225,3
1226,0
1227,3
1228,3
1229,3
1230,2
1231,3
1232,0
1233,3
1234,3
1235,2
1236,2
1237,0
1238,2
1239,2
1240,1
1241,0
1242,0
1243,3
1244,3
1245,0
1246,3
1247,2
1248,1
1249,3
1250,1
1251,2
1252,2
1253,0
1254,3
1255,1
1256,0
1257,0
1258,2
1259,2
1260,1
1261,2
1262,2
1263,3
1264,0
1265,3
1266,1
1267,3
1268,3
1269,2
1270,0
1271,2
1272,0
1273,2
1274,3
1275,3
1276,3
1277,1
1278,2
1279,1
1280,1
1281,2
1282,1
1283,1
1284,3
1285,2
1286,2
1287,3
1288,0
1289,3
1290,0
1291,1
1292,3
1293,1
1294,2
1295,2
1296,1
1297,2
1298,3
1299,2
1300,3
1301,2
1302,0
1303,2
1304,0
1305,0
1306,1
1307,3
1308,2
1309,0
1310,1
1311,1
1312,1
1313,1
1314,3
1315,0
1316,3
1317,2
1318,1
1319,2
1320,3
1321,3
1322,2
1323,3
1324,1
1325,0
1326,1
1327,3
1328,3
1329,3
1330,0
1331,0
1332,1
1333,2
1334,0
1335,2
1336,2
1337,0
1338,3
1339,2
1340,0
1341,3
1342,1
1343,3
1344,3
1345,0
1346,2
1347,0
1348,1
1349,1
1350,1
1351,1
1352,2
1353,1
1354,3
1355,3
1356,3
1357,2
1358,3
1359,0
1360,1
1361,2
1362,1
1363,1
1364,2
1365,2
1366,1
1367,2
1368,1
1369,1
1370,2
1371,3
1372,2
1373,0
1374,0
1375,2
1376,2
1377,1
1378,3
1379,3
1380,2
1381,1
1382,3
1383,2
1384,3
1385,1
1386,3
1387,2
1388,0
1389,2
1390,3
1391,3
1392,3
1393,1
1394,1
1395,2
1396,1
1397,2
1398,3
1399,3
1400,1
1401,3
1402,2
1403,3
1404,3
1405,2
1406,3
1407,2
1408,3
1409,2
1410,2
1411,2
1412,3
1413,1
1414,3
1415,3
1416,0
1417,1
1418,3
1419,3
1420,2
1421,2
1422,2
1423,1
1424,0
1425,2
1426,1
1427,0
1428,0
1429,1
1430,0
1431,2
1432,1
1433,3
1434,1
1435,3
1436,1
1437,2
1438,0
1439,2
1440,2
1441,1
1442,1
1443,2
1444,3
1445,0
1446,2
1447,0
1448,3
1449,1
1450,2
1451,2
1452,3
