yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender,id
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+3,51,Once a month,Female,105
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,-2,42,Every three months,Female,106
No,Yes,No,Yes,No,No,No,No,No,No,No,0,44,Every three months,Female,107
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,57,Once a year,Female,108
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,56,Once a year,Female,109
No,Yes,Yes,Yes,No,No,No,No,No,No,No,-2,57,Every three months,Female,110
Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,33,Once a week,Female,111
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,63,Every three months,Male,112
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,55,Once a month,Male,113
No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,39,Every three months,Female,114
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,65,Never,Male,115
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,47,Once a week,Female,116
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+1,37,Every three months,Female,117
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,22,Once a year,Male,118
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,51,Every three months,Male,119
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,24,Once a month,Female,120
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+1,49,Once a month,Female,121
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,55,Once a month,Female,122
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,48,Once a year,Male,123
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,24,Every three months,Female,124
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-2,47,Every three months,Male,125
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,54,Once a year,Male,126
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,23,Once a week,Female,127
No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,+1,34,Every three months,Female,128
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+3,32,Once a month,Female,129
No,Yes,No,No,No,Yes,Yes,No,No,No,No,+3,58,Once a month,Female,130
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,46,Once a year,Female,131
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,23,Every three months,Female,132
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,31,Once a month,Male,133
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,59,Once a year,Male,134
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0,47,Once a month,Male,135
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,58,More than once a week,Female,136
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,55,Every three months,Male,137
Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,+4,62,Once a month,Female,138
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,20,Once a month,Male,139
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,42,Every three months,Male,140
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,29,Once a month,Male,141
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+1,63,Once a month,Male,142
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+2,26,Once a week,Male,143
Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,19,Once a month,Female,144
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,61,Once a year,Female,145
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,19,Once a week,Male,146
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+4,56,Once a month,Female,147
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,39,Once a year,Female,148
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,0,45,Once a month,Male,149
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,52,Once a year,Male,150
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,0,42,Once a month,Female,151
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,47,Once a month,Female,152
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,22,Once a week,Female,153
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,63,Once a month,Male,154
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,65,Every three months,Female,155
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+1,63,Every three months,Male,156
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,25,Once a month,Male,157
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,62,Once a year,Male,158
No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,0,59,Once a year,Female,159
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,67,Once a year,Male,160
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,60,Never,Male,161
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,69,Once a week,Male,162
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,40,Never,Male,163
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,67,Once a year,Male,164
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,37,Every three months,Female,165
No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-4,65,Every three months,Male,166
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,64,Once a month,Female,167
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,57,Once a month,Female,168
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,I love it!+5,37,Once a week,Male,169
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+2,39,Once a month,Female,170
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+1,64,Every three months,Male,171
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-2,23,Once a year,Male,172
Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,+2,50,Once a week,Female,173
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,60,Every three months,Male,174
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-2,32,Once a year,Male,175
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,59,Never,Female,176
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-2,37,Once a month,Male,177
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,+3,25,More than once a week,Female,178
No,Yes,No,No,No,Yes,No,No,No,No,No,+3,55,Once a month,Male,179
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,-2,25,Once a month,Male,180
No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,-3,35,Once a year,Female,181
No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,58,Never,Female,182
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,32,Never,Male,183
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,I hate it!-5,45,Never,Female,184
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,60,Once a year,Female,185
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,59,Once a year,Male,186
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,36,Once a month,Female,187
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,0,55,Once a year,Male,188
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,55,Every three months,Female,189
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,22,Once a month,Female,190
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,21,Once a week,Female,191
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,62,Once a week,Male,192
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,29,Once a month,Male,193
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+1,36,Once a month,Female,194
No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,44,Once a year,Male,195
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,47,Once a year,Female,196
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,57,Once a year,Female,197
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,23,Once a year,Female,198
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,31,Once a week,Female,199
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,70,More than once a week,Female,200
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,24,Once a week,Male,201
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,27,Every three months,Male,202
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,58,Never,Female,203
No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,+2,51,Once a week,Male,204
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-2,36,Every three months,Male,205
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,36,Once a month,Female,206
No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0,43,Every three months,Male,207
No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,64,Never,Male,208
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-3,52,Once a month,Male,209
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,53,Never,Male,210
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,52,Never,Female,211
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,33,Once a week,Female,212
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,24,Once a week,Male,213
Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,+4,64,Once a month,Female,214
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,+3,41,Once a month,Male,215
No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,I hate it!-5,56,Once a year,Female,216
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,49,Once a month,Female,217
Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,24,Once a year,Female,218
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,62,Every three months,Female,219
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,0,56,Every three months,Male,220
Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,+3,67,Every three months,Male,221
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,27,Once a month,Male,222
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,53,Once a year,Male,223
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,-4,60,Once a year,Female,224
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,51,Once a year,Female,225
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,I hate it!-5,67,Once a year,Female,226
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,27,Once a month,Female,227
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,56,Every three months,Male,228
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,39,Once a month,Male,229
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,35,Once a week,Female,230
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,68,Once a month,Female,231
Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,57,Once a week,Female,232
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,50,Never,Female,233
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,64,Once a month,Female,234
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,66,Once a week,Female,235
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,27,More than once a week,Male,236
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,70,Never,Male,237
No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,-1,51,Once a month,Male,238
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,60,Once a year,Female,239
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,49,Once a year,Female,240
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,54,Never,Female,241
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,58,Never,Female,242
No,No,No,No,No,Yes,Yes,No,No,No,No,-3,70,Once a month,Female,243
Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+3,59,More than once a week,Male,244
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,+1,54,Once a year,Female,245
No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-3,52,Every three months,Female,246
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,22,Once a week,Female,247
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,53,Every three months,Female,248
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,69,More than once a week,Female,249
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,20,Every three months,Male,250
Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,+3,66,Once a month,Female,251
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,25,More than once a week,Female,252
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,31,Once a week,Female,253
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+1,67,Once a month,Female,254
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+3,56,Once a month,Female,255
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,48,Once a year,Female,256
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,54,Every three months,Female,257
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,58,Once a month,Male,258
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,42,Once a week,Female,259
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,38,Once a week,Female,260
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+2,28,Every three months,Male,261
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,47,Once a week,Female,262
No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,0,49,Once a year,Male,263
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,40,Every three months,Female,264
No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0,31,Once a week,Male,265
No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,I hate it!-5,50,Never,Male,266
Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,-1,69,Once a year,Female,267
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,40,Once a month,Female,268
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,I love it!+5,30,Once a month,Male,269
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-3,44,Once a year,Male,270
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,32,Once a month,Male,271
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,67,Once a week,Male,272
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,18,Once a week,Female,273
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,27,Once a year,Female,274
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-1,61,Once a year,Female,275
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,47,Once a year,Male,276
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-4,20,Every three months,Male,277
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,26,Once a week,Male,278
