user_id,age,income_level
602,27,low
603,61,medium
604,34,medium
605,55,low
606,24,medium
607,63,low
608,30,high
609,57,high
610,59,low
611,26,medium
612,44,low
613,19,medium
614,22,medium
615,46,low
616,54,medium
617,55,low
618,36,low
619,25,medium
620,62,medium
621,18,medium
622,39,medium
623,34,high
624,24,low
625,42,medium
626,62,medium
627,21,medium
628,53,high
629,23,medium
630,48,medium
631,36,medium
632,61,high
633,56,high
634,44,medium
635,27,medium
636,43,low
637,36,low
638,56,medium
639,20,low
640,62,medium
641,30,low
642,45,medium
643,37,medium
644,45,high
645,25,low
646,58,medium
647,56,high
648,18,low
649,20,high
650,30,medium
651,45,medium
652,42,high
653,50,low
654,55,medium
655,23,high
656,61,low
657,62,medium
658,49,high
659,62,low
660,64,high
661,38,medium
662,33,medium
663,38,medium
664,28,low
665,54,high
666,53,high
667,52,medium
668,36,medium
669,37,medium
670,35,medium
671,64,medium
672,58,medium
673,31,medium
674,32,medium
675,48,medium
676,18,low
677,20,low
678,33,medium
679,40,medium
680,28,medium
681,29,medium
682,27,medium
683,49,medium
684,33,medium
685,25,medium
686,55,medium
687,29,high
688,41,medium
689,45,low
690,25,low
691,45,low
692,53,medium
693,43,medium
694,25,medium
695,45,medium
696,45,low
697,54,medium
698,58,low
699,53,medium
700,44,low
701,34,high
702,26,low
703,50,high
704,37,medium
705,30,high
706,45,medium
707,46,medium
708,30,medium
709,63,medium
710,52,medium
711,23,medium
712,35,medium
713,22,low
714,64,medium
715,42,medium
716,19,medium
717,27,medium
718,47,medium
719,62,high
720,22,low
721,50,medium
722,18,medium
723,35,medium
724,49,high
725,64,low
726,28,medium
727,38,medium
728,43,medium
729,42,medium
730,39,medium
731,44,medium
732,30,medium
733,50,low
734,51,medium
735,58,low
736,52,medium
737,18,medium
738,38,medium
739,23,medium
740,45,low
741,34,medium
742,22,medium
743,48,medium
744,22,high
745,55,low
746,20,medium
747,40,medium
748,54,medium
749,54,low
750,27,low
751,27,high
752,36,medium
753,34,medium
754,38,medium
755,31,medium
756,26,low
757,63,medium
758,18,medium
759,62,high
760,30,low
761,21,medium
762,18,medium
763,57,medium
764,49,medium
765,51,medium
766,45,medium
767,48,medium
768,25,medium
769,56,high
770,43,medium
771,51,medium
772,20,low
773,29,high
774,18,low
775,61,low
776,22,low
777,47,medium
778,47,low
779,34,low
780,64,low
781,40,low
782,32,medium
783,54,medium
784,38,medium
785,31,medium
786,19,medium
787,28,low
788,56,medium
789,55,high
790,51,medium
791,55,low
792,51,medium
793,35,medium
794,47,medium
795,32,low
796,44,low
797,51,low
798,55,high
799,50,medium
800,41,low
801,32,low
802,47,medium
803,59,low
804,34,low
805,22,high
806,46,low
807,21,medium
808,27,high
809,34,medium
810,27,low
811,34,low
812,37,high
813,41,high
814,22,medium
815,51,low
816,23,medium
817,19,high
818,30,medium
819,60,high
820,60,high
821,28,medium
822,64,medium
823,40,medium
824,33,low
825,48,medium
826,28,medium
827,33,high
828,25,high
829,21,medium
830,57,low
831,21,low
832,42,low
833,20,medium
834,49,medium
835,20,high
836,44,medium
837,46,high
838,49,high
839,36,medium
840,38,high
841,22,medium
842,35,low
843,45,medium
844,59,medium
845,39,medium
846,38,medium
847,23,medium
848,18,medium
849,22,medium
850,58,medium
851,29,medium
852,43,medium
853,63,low
854,51,medium
855,31,low
856,43,medium
857,62,medium
858,44,medium
859,26,medium
860,43,high
861,64,high
862,39,high
863,64,high
864,47,low
865,60,low
866,34,medium
867,43,low
868,53,medium
869,18,medium
870,25,medium
871,52,medium
872,32,medium
873,64,medium
874,39,high
875,31,medium
876,43,high
877,45,low
878,40,high
879,31,medium
880,41,medium
881,19,low
882,62,medium
883,43,low
884,31,low
885,24,medium
886,20,medium
887,64,medium
888,40,high
889,63,medium
890,60,medium
891,64,low
892,62,medium
893,35,medium
894,55,high
895,52,high
896,32,medium
897,42,low
898,54,high
899,45,medium
900,27,low
