transaction_id,item_name
41,Морковные палочки
42,Наггетсы
42,Цезарь
42,Ролл-цезарь
42,Греческий салат
42,Стрипсы
42,Морковные палочки
43,Картофель фри 300 гр
43,Наггетсы
43,Греческий салат
43,Сметана
43,Сырный соус
43,Морковные палочки
44,Цезарь
44,Кола
44,Коктейль (ваниль)
44,Супер Комбо Обед
45,Цезарь
45,Вода с газом 500 мл
45,Коктейль (банан)
45,Сырный соус
46,Картофель фри 200 гр
46,Сметана
46,Морковные палочки
46,Кетчуп
47,Наггетсы
47,Цезарь
47,Кола
47,Коктейль (банан)
47,Вода без газа 500 мл
47,Стрипсы
47,Кетчуп
48,Наггетсы
48,Цезарь
48,Кола
48,Супер Комбо Обед
48,Чикенбургер
48,Сметана
48,Вода с газом 500 мл
48,Вода без газа 500 мл
49,Цезарь
49,Супер Комбо Обед
49,Сметана
49,Вода с газом 500 мл
49,Картофель фри 200 гр
49,Стрипсы
49,Кетчуп
50,Чесночный соус
50,Вода с газом 500 мл
50,Коктейль (банан)
50,Стрипсы
51,Морковные палочки
51,Стрипсы
51,Кола
51,Чикенбургер
52,Картофель фри 300 гр
52,Кола
52,Сырный соус
53,Наггетсы
53,Греческий салат
53,Чикенбургер
53,Коктейль (банан)
53,Сырный соус
54,Цезарь
54,Вода с газом 500 мл
54,Сырный соус
54,Стрипсы
54,Кетчуп
55,Цезарь
55,Греческий салат
55,Чесночный соус
55,Сметана
55,Вода с газом 500 мл
55,Морковные палочки
56,Сметана
56,Кетчуп
57,Картофель фри 300 гр
57,Цезарь
57,Чизбургер
57,Кола
57,Ролл-цезарь
57,Чикенбургер
57,Морковные палочки
58,Коктейль (банан)
58,Стрипсы
58,Сырный соус
59,Вода без газа 500 мл
59,Супер Комбо Обед
59,Чизбургер
59,Кетчуп
60,Картофель фри 200 гр
60,Коктейль (банан)
60,Сметана
60,Кетчуп
61,Наггетсы
61,Кола
61,Стрипсы
61,Чизбургер
62,Кола
62,Супер Комбо Обед
62,Чикенбургер
62,Коктейль (банан)
62,Кетчуп
63,Цезарь
63,Чизбургер
63,Греческий салат
63,Коктейль (ваниль)
63,Коктейль (банан)
63,Вода без газа 500 мл
64,Коктейль (банан)
64,Сырный соус
65,Чизбургер
65,Греческий салат
65,Коктейль (банан)
65,Коктейль (ваниль)
65,Картофель фри 200 гр
66,Наггетсы
66,Коктейль (ваниль)
66,Стрипсы
67,Цезарь
67,Вода с газом 500 мл
67,Коктейль (банан)
67,Вода без газа 500 мл
67,Картофель фри 200 гр
67,Морковные палочки
67,Кетчуп
68,Цезарь
68,Чикенбургер
68,Чесночный соус
68,Сметана
68,Коктейль (ваниль)
68,Кетчуп
69,Цезарь
69,Кола
69,Супер Комбо Обед
69,Ролл-цезарь
69,Вода с газом 500 мл
69,Сырный соус
69,Стрипсы
70,Картофель фри 200 гр
70,Коктейль (банан)
71,Картофель фри 300 гр
71,Цезарь
71,Вода с газом 500 мл
71,Коктейль (банан)
71,Стрипсы
72,Чесночный соус
72,Картофель фри 200 гр
72,Коктейль (ваниль)
73,Ролл-цезарь
73,Цезарь
73,Чесночный соус
73,Кетчуп
74,Чесночный соус
74,Стрипсы
75,Чизбургер
75,Цезарь
75,Кола
75,Ролл-цезарь
75,Сметана
75,Картофель фри 200 гр
75,Морковные палочки
76,Картофель фри 300 гр
76,Ролл-цезарь
76,Греческий салат
76,Коктейль (банан)
76,Сырный соус
76,Вода без газа 500 мл
77,Чизбургер
77,Вода с газом 500 мл
77,Коктейль (ваниль)
77,Кетчуп
78,Наггетсы
78,Цезарь
78,Сметана
78,Коктейль (ваниль)
78,Сырный соус
78,Картофель фри 200 гр
79,Чесночный соус
79,Кетчуп
80,Цезарь
80,Кола
80,Греческий салат
80,Вода с газом 500 мл
80,Сырный соус
80,Стрипсы
80,Морковные палочки
81,Коктейль (банан)
81,Супер Комбо Обед
82,Цезарь
82,Чизбургер
82,Вода с газом 500 мл
82,Коктейль (ваниль)
82,Кетчуп
83,Стрипсы
83,Кетчуп
84,Чесночный соус
84,Картофель фри 200 гр
84,Коктейль (банан)
84,Морковные палочки
85,Картофель фри 300 гр
85,Сметана
86,Чизбургер
86,Картофель фри 200 гр
86,Кола
86,Кетчуп
87,Картофель фри 200 гр
87,Сметана
87,Морковные палочки
87,Кетчуп
88,Кола
88,Супер Комбо Обед
88,Вода с газом 500 мл
88,Вода без газа 500 мл
88,Морковные палочки
88,Кетчуп
89,Картофель фри 300 гр
89,Чизбургер
89,Кола
89,Супер Комбо Обед
89,Сметана
89,Коктейль (ваниль)
90,Наггетсы
90,Чизбургер
90,Вода с газом 500 мл
90,Коктейль (банан)
90,Коктейль (ваниль)
90,Картофель фри 200 гр
90,Стрипсы
90,Кетчуп
91,Супер Комбо Обед
91,Чесночный соус
91,Коктейль (ваниль)
91,Картофель фри 200 гр
91,Кетчуп
92,Наггетсы
92,Чесночный соус
92,Вода с газом 500 мл
92,Коктейль (ваниль)
92,Коктейль (банан)
92,Вода без газа 500 мл
92,Картофель фри 200 гр
93,Вода с газом 500 мл
93,Кола
93,Супер Комбо Обед
94,Картофель фри 300 гр
94,Чизбургер
94,Чесночный соус
94,Сметана
94,Сырный соус
95,Чесночный соус
95,Стрипсы
96,Греческий салат
96,Сырный соус
97,Кола
97,Коктейль (банан)
98,Чизбургер
98,Кола
98,Коктейль (ваниль)
98,Супер Комбо Обед
99,Вода с газом 500 мл
99,Сырный соус
100,Чикенбургер
100,Чесночный соус
100,Коктейль (банан)
100,Коктейль (ваниль)
100,Морковные палочки
101,Коктейль (ваниль)
101,Чикенбургер
102,Кола
102,Греческий салат
102,Чесночный соус
102,Сметана
102,Коктейль (ваниль)
103,Цезарь
103,Ролл-цезарь
103,Греческий салат
103,Чикенбургер
103,Вода с газом 500 мл
104,Наггетсы
104,Цезарь
104,Ролл-цезарь
104,Чесночный соус
104,Сметана
104,Вода без газа 500 мл
104,Картофель фри 200 гр
105,Картофель фри 300 гр
105,Картофель фри 200 гр
105,Стрипсы
105,Кетчуп
106,Ролл-цезарь
106,Вода с газом 500 мл
106,Стрипсы
107,Коктейль (ваниль)
107,Стрипсы
107,Вода с газом 500 мл
107,Греческий салат
108,Картофель фри 300 гр
108,Кола
108,Сырный соус
108,Картофель фри 200 гр
108,Стрипсы
108,Морковные палочки
108,Кетчуп
109,Картофель фри 300 гр
109,Наггетсы
109,Кола
109,Ролл-цезарь
109,Сметана
109,Коктейль (банан)
109,Морковные палочки
110,Наггетсы
110,Стрипсы
111,Чесночный соус
111,Сметана
111,Кетчуп
112,Сметана
112,Сырный соус
112,Чикенбургер
113,Чесночный соус
113,Стрипсы
113,Сырный соус
114,Цезарь
114,Ролл-цезарь
114,Греческий салат
114,Чикенбургер
114,Чесночный соус
114,Коктейль (ваниль)
114,Стрипсы
115,Картофель фри 300 гр
115,Кола
115,Греческий салат
115,Чесночный соус
115,Вода с газом 500 мл
115,Сырный соус
115,Морковные палочки
116,Ролл-цезарь
116,Чизбургер
116,Цезарь
116,Коктейль (банан)
117,Кола
117,Чикенбургер
117,Чесночный соус
117,Вода с газом 500 мл
117,Коктейль (ваниль)
117,Картофель фри 200 гр
118,Цезарь
118,Супер Комбо Обед
118,Ролл-цезарь
118,Чесночный соус
118,Картофель фри 200 гр
119,Чизбургер
119,Цезарь
119,Кола
119,Ролл-цезарь
119,Чикенбургер
119,Вода с газом 500 мл
119,Коктейль (банан)
120,Сметана
120,Сырный соус
121,Супер Комбо Обед
121,Коктейль (ваниль)
121,Коктейль (банан)
121,Сырный соус
121,Морковные палочки
121,Кетчуп
122,Коктейль (банан)
122,Стрипсы
122,Сырный соус
122,Чикенбургер
123,Сметана
123,Греческий салат
123,Коктейль (ваниль)
123,Морковные палочки
124,Картофель фри 300 гр
124,Цезарь
124,Кола
124,Греческий салат
124,Вода с газом 500 мл
124,Сырный соус
124,Вода без газа 500 мл
124,Кетчуп
125,Картофель фри 300 гр
125,Наггетсы
125,Кола
125,Чикенбургер
125,Стрипсы
126,Картофель фри 300 гр
126,Цезарь
126,Греческий салат
126,Чикенбургер
126,Сырный соус
126,Вода без газа 500 мл
126,Морковные палочки
126,Кетчуп
127,Кола
127,Супер Комбо Обед
127,Греческий салат
127,Чикенбургер
127,Сметана
127,Вода без газа 500 мл
127,Картофель фри 200 гр
127,Морковные палочки
127,Кетчуп
128,Картофель фри 300 гр
128,Картофель фри 200 гр
129,Картофель фри 200 гр
129,Кола
130,Вода без газа 500 мл
130,Чизбургер
130,Коктейль (ваниль)
131,Картофель фри 300 гр
131,Коктейль (банан)
131,Чикенбургер
131,Вода без газа 500 мл
132,Кола
132,Супер Комбо Обед
132,Сметана
132,Коктейль (ваниль)
132,Морковные палочки
133,Чесночный соус
133,Греческий салат
133,Стрипсы
134,Вода с газом 500 мл
134,Стрипсы
134,Кола
134,Чикенбургер
135,Ролл-цезарь
135,Сметана
135,Вода с газом 500 мл
135,Картофель фри 200 гр
135,Морковные палочки
135,Кетчуп
136,Ролл-цезарь
136,Чесночный соус
136,Цезарь
136,Кола
137,Вода без газа 500 мл
137,Кола
138,Наггетсы
138,Коктейль (ваниль)
138,Вода без газа 500 мл
138,Морковные палочки
138,Кетчуп
139,Чизбургер
139,Наггетсы
139,Вода с газом 500 мл
139,Коктейль (ваниль)
139,Сырный соус
139,Морковные палочки
139,Кетчуп
140,Картофель фри 300 гр
140,Картофель фри 200 гр
140,Кетчуп
141,Сметана
141,Морковные палочки
142,Наггетсы
142,Кола
142,Чикенбургер
142,Коктейль (ваниль)
142,Стрипсы
143,Картофель фри 300 гр
143,Цезарь
143,Ролл-цезарь
143,Чикенбургер
143,Сырный соус
143,Кетчуп
144,Чизбургер
144,Сметана
144,Коктейль (ваниль)
144,Коктейль (банан)
144,Кетчуп
145,Картофель фри 300 гр
145,Кола
145,Ролл-цезарь
145,Коктейль (банан)
145,Сырный соус
145,Вода без газа 500 мл
145,Кетчуп
146,Наггетсы
146,Цезарь
146,Ролл-цезарь
146,Чикенбургер
146,Сметана
146,Вода с газом 500 мл
146,Коктейль (банан)
146,Кетчуп
147,Чикенбургер
147,Кола
147,Сырный соус
147,Супер Комбо Обед
148,Чизбургер
148,Вода с газом 500 мл
149,Картофель фри 300 гр
149,Кола
149,Ролл-цезарь
149,Греческий салат
149,Сметана
149,Вода с газом 500 мл
149,Стрипсы
149,Морковные палочки
150,Картофель фри 300 гр
150,Кола
150,Ролл-цезарь
150,Чикенбургер
150,Коктейль (ваниль)
150,Сырный соус
150,Стрипсы
151,Кола
151,Супер Комбо Обед
152,Наггетсы
152,Греческий салат
152,Сметана
152,Коктейль (ваниль)
152,Коктейль (банан)
152,Вода без газа 500 мл
152,Морковные палочки
153,Кетчуп
153,Кола
153,Супер Комбо Обед
154,Картофель фри 200 гр
154,Стрипсы
154,Сырный соус
154,Кетчуп
155,Сметана
155,Морковные палочки
155,Кетчуп
156,Картофель фри 300 гр
156,Цезарь
156,Кола
156,Супер Комбо Обед
156,Сметана
156,Вода с газом 500 мл
156,Картофель фри 200 гр
156,Морковные палочки
157,Картофель фри 300 гр
157,Чизбургер
157,Наггетсы
157,Сметана
157,Коктейль (ваниль)
157,Сырный соус
157,Стрипсы
157,Морковные палочки
157,Кетчуп
158,Картофель фри 300 гр
158,Коктейль (банан)
158,Сырный соус
158,Кетчуп
159,Цезарь
159,Кола
159,Супер Комбо Обед
159,Сметана
159,Вода с газом 500 мл
159,Картофель фри 200 гр
159,Морковные палочки
160,Наггетсы
160,Цезарь
160,Кола
160,Ролл-цезарь
160,Чесночный соус
160,Коктейль (ваниль)
160,Сырный соус
161,Картофель фри 300 гр
161,Цезарь
161,Сметана
161,Вода с газом 500 мл
161,Коктейль (ваниль)
161,Сырный соус
162,Картофель фри 300 гр
162,Ролл-цезарь
162,Чесночный соус
162,Сметана
162,Коктейль (ваниль)
162,Сырный соус
162,Морковные палочки
163,Наггетсы
163,Кола
163,Супер Комбо Обед
163,Коктейль (банан)
163,Стрипсы
164,Картофель фри 300 гр
164,Кола
164,Супер Комбо Обед
164,Чикенбургер
164,Коктейль (ваниль)
164,Сырный соус
164,Стрипсы
165,Вода без газа 500 мл
165,Сметана
165,Вода с газом 500 мл
165,Морковные палочки
166,Картофель фри 300 гр
166,Вода с газом 500 мл
166,Коктейль (банан)
166,Сырный соус
167,Вода без газа 500 мл
167,Греческий салат
168,Цезарь
168,Чесночный соус
168,Сырный соус
168,Супер Комбо Обед
169,Наггетсы
169,Кола
169,Греческий салат
169,Стрипсы
169,Морковные палочки
170,Кола
170,Супер Комбо Обед
170,Чикенбургер
170,Коктейль (ваниль)
170,Сырный соус
171,Чизбургер
171,Наггетсы
171,Коктейль (банан)
171,Стрипсы
171,Кетчуп
172,Вода с газом 500 мл
172,Стрипсы
172,Морковные палочки
173,Картофель фри 300 гр
173,Кола
173,Супер Комбо Обед
173,Сметана
173,Сырный соус
173,Морковные палочки
173,Кетчуп
174,Сметана
174,Кетчуп
175,Картофель фри 300 гр
175,Цезарь
175,Стрипсы
176,Картофель фри 300 гр
176,Стрипсы
177,Чесночный соус
177,Морковные палочки
177,Супер Комбо Обед
178,Ролл-цезарь
178,Цезарь
178,Коктейль (ваниль)
179,Кола
179,Греческий салат
179,Чикенбургер
179,Сметана
179,Коктейль (банан)
179,Морковные палочки
180,Картофель фри 300 гр
180,Цезарь
180,Супер Комбо Обед
180,Греческий салат
180,Сметана
180,Вода с газом 500 мл
180,Сырный соус
180,Морковные палочки
181,Наггетсы
181,Кола
181,Супер Комбо Обед
181,Греческий салат
181,Коктейль (банан)
181,Морковные палочки
182,Сметана
182,Морковные палочки
182,Кетчуп
183,Цезарь
183,Греческий салат
183,Сметана
183,Сырный соус
183,Морковные палочки
183,Кетчуп
184,Картофель фри 300 гр
184,Чизбургер
184,Греческий салат
184,Вода с газом 500 мл
184,Стрипсы
185,Цезарь
185,Ролл-цезарь
185,Коктейль (ваниль)
185,Сырный соус
185,Вода без газа 500 мл
185,Стрипсы
186,Кола
186,Греческий салат
186,Сметана
186,Коктейль (банан)
186,Картофель фри 200 гр
186,Морковные палочки
187,Ролл-цезарь
187,Цезарь
187,Морковные палочки
187,Вода без газа 500 мл
188,Картофель фри 300 гр
188,Цезарь
188,Коктейль (ваниль)
188,Картофель фри 200 гр
188,Стрипсы
189,Картофель фри 300 гр
189,Сметана
189,Коктейль (ваниль)
189,Коктейль (банан)
189,Вода без газа 500 мл
189,Стрипсы
190,Наггетсы
190,Чизбургер
190,Цезарь
190,Ролл-цезарь
190,Сметана
190,Картофель фри 200 гр
190,Морковные палочки
191,Супер Комбо Обед
191,Сметана
191,Вода с газом 500 мл
191,Сырный соус
191,Вода без газа 500 мл
191,Картофель фри 200 гр
191,Кетчуп
192,Чизбургер
192,Сметана
192,Коктейль (ваниль)
192,Картофель фри 200 гр
192,Морковные палочки
192,Кетчуп
193,Коктейль (банан)
193,Чесночный соус
193,Вода с газом 500 мл
193,Коктейль (ваниль)
194,Картофель фри 300 гр
194,Цезарь
194,Греческий салат
194,Сметана
194,Коктейль (банан)
194,Морковные палочки
195,Чизбургер
195,Вода с газом 500 мл
195,Коктейль (ваниль)
196,Кола
196,Ролл-цезарь
196,Чесночный соус
196,Вода с газом 500 мл
196,Коктейль (ваниль)
197,Вода без газа 500 мл
197,Цезарь
198,Сметана
198,Вода с газом 500 мл
198,Супер Комбо Обед
199,Кола
199,Греческий салат
199,Чикенбургер
199,Сметана
199,Морковные палочки
200,Наггетсы
200,Чизбургер
200,Чикенбургер
200,Чесночный соус
200,Коктейль (ваниль)
200,Картофель фри 200 гр
200,Морковные палочки
200,Кетчуп
201,Картофель фри 300 гр
201,Цезарь
201,Кола
201,Сметана
201,Вода с газом 500 мл
201,Сырный соус
201,Морковные палочки
202,Кола
202,Стрипсы
202,Супер Комбо Обед
203,Наггетсы
203,Сметана
203,Коктейль (банан)
203,Стрипсы
204,Кола
204,Супер Комбо Обед
204,Чесночный соус
204,Сметана
204,Коктейль (банан)
204,Коктейль (ваниль)
204,Морковные палочки
205,Греческий салат
205,Сметана
205,Коктейль (банан)
205,Картофель фри 200 гр
205,Морковные палочки
206,Кола
206,Супер Комбо Обед
206,Чесночный соус
206,Сметана
206,Коктейль (банан)
206,Коктейль (ваниль)
206,Морковные палочки
206,Кетчуп
207,Ролл-цезарь
207,Цезарь
207,Сметана
207,Греческий салат
208,Цезарь
208,Чизбургер
208,Кола
208,Сырный соус
208,Картофель фри 200 гр
208,Кетчуп
209,Картофель фри 300 гр
209,Наггетсы
209,Греческий салат
209,Сметана
209,Коктейль (банан)
209,Сырный соус
209,Вода без газа 500 мл
209,Морковные палочки
210,Наггетсы
210,Супер Комбо Обед
210,Греческий салат
210,Сметана
210,Сырный соус
211,Картофель фри 300 гр
211,Чизбургер
211,Картофель фри 200 гр
211,Кетчуп
212,Чесночный соус
212,Наггетсы
213,Сметана
213,Вода с газом 500 мл
213,Коктейль (ваниль)
213,Сырный соус
213,Вода без газа 500 мл
213,Морковные палочки
214,Греческий салат
214,Чикенбургер
214,Коктейль (банан)
214,Вода без газа 500 мл
214,Стрипсы
215,Чизбургер
215,Ролл-цезарь
215,Сметана
215,Вода с газом 500 мл
215,Коктейль (ваниль)
215,Стрипсы
215,Морковные палочки
215,Кетчуп
216,Чизбургер
216,Кола
216,Чикенбургер
216,Сметана
216,Коктейль (ваниль)
216,Вода без газа 500 мл
216,Картофель фри 200 гр
216,Кетчуп
217,Чизбургер
217,Цезарь
217,Чесночный соус
217,Сметана
217,Вода с газом 500 мл
217,Картофель фри 200 гр
217,Морковные палочки
217,Кетчуп
218,Наггетсы
218,Кола
218,Вода с газом 500 мл
218,Картофель фри 200 гр
218,Стрипсы
218,Кетчуп
219,Картофель фри 300 гр
219,Наггетсы
219,Коктейль (банан)
220,Кола
220,Ролл-цезарь
220,Греческий салат
220,Чикенбургер
220,Сметана
220,Сырный соус
220,Морковные палочки
221,Картофель фри 300 гр
221,Цезарь
221,Наггетсы
221,Супер Комбо Обед
221,Греческий салат
221,Вода с газом 500 мл
221,Коктейль (банан)
221,Морковные палочки
221,Кетчуп
222,Ролл-цезарь
222,Чизбургер
222,Картофель фри 200 гр
222,Кетчуп
223,Картофель фри 300 гр
223,Цезарь
223,Ролл-цезарь
223,Вода с газом 500 мл
223,Вода без газа 500 мл
223,Картофель фри 200 гр
223,Кетчуп
224,Цезарь
224,Вода с газом 500 мл
224,Коктейль (ваниль)
224,Картофель фри 200 гр
224,Кетчуп
225,Кола
225,Чикенбургер
225,Вода с газом 500 мл
225,Вода без газа 500 мл
225,Картофель фри 200 гр
225,Морковные палочки
225,Кетчуп
226,Наггетсы
226,Сметана
226,Коктейль (банан)
226,Сырный соус
226,Вода без газа 500 мл
226,Морковные палочки
227,Картофель фри 300 гр
227,Сметана
227,Вода с газом 500 мл
227,Сырный соус
227,Вода без газа 500 мл
227,Стрипсы
227,Кетчуп
228,Супер Комбо Обед
228,Греческий салат
228,Чесночный соус
228,Сметана
228,Сырный соус
228,Вода без газа 500 мл
228,Морковные палочки
228,Кетчуп
229,Наггетсы
229,Кола
229,Чесночный соус
229,Вода с газом 500 мл
229,Коктейль (банан)
229,Вода без газа 500 мл
229,Стрипсы
230,Цезарь
230,Ролл-цезарь
230,Чесночный соус
230,Вода без газа 500 мл
230,Картофель фри 200 гр
230,Кетчуп
231,Цезарь
231,Ролл-цезарь
231,Вода с газом 500 мл
231,Сырный соус
231,Кетчуп
232,Картофель фри 300 гр
232,Вода с газом 500 мл
233,Чесночный соус
233,Сметана
234,Картофель фри 300 гр
234,Наггетсы
234,Кола
234,Ролл-цезарь
234,Сырный соус
234,Вода без газа 500 мл
234,Картофель фри 200 гр
235,Чесночный соус
235,Чикенбургер
236,Наггетсы
236,Чикенбургер
236,Чесночный соус
236,Вода без газа 500 мл
236,Кетчуп
237,Чизбургер
237,Коктейль (ваниль)
237,Наггетсы
237,Кетчуп
238,Кола
238,Греческий салат
238,Чикенбургер
238,Коктейль (ваниль)
238,Сырный соус
238,Картофель фри 200 гр
238,Морковные палочки
239,Цезарь
239,Кола
239,Супер Комбо Обед
239,Чикенбургер
239,Морковные палочки
240,Картофель фри 300 гр
240,Чизбургер
240,Кола
240,Чикенбургер
240,Чесночный соус
240,Коктейль (ваниль)
240,Стрипсы
241,Наггетсы
241,Кола
241,Супер Комбо Обед
241,Вода с газом 500 мл
241,Вода без газа 500 мл
241,Картофель фри 200 гр
242,Цезарь
242,Наггетсы
242,Чесночный соус
242,Коктейль (ваниль)
242,Коктейль (банан)
242,Картофель фри 200 гр
242,Кетчуп
243,Ролл-цезарь
243,Цезарь
243,Картофель фри 200 гр
243,Кетчуп
244,Картофель фри 300 гр
244,Чесночный соус
244,Сырный соус
244,Картофель фри 200 гр
244,Стрипсы
244,Кетчуп
245,Картофель фри 300 гр
245,Наггетсы
245,Сметана
245,Коктейль (банан)
245,Стрипсы
246,Цезарь
246,Греческий салат
246,Сметана
246,Вода с газом 500 мл
246,Коктейль (банан)
246,Морковные палочки
247,Чизбургер
247,Коктейль (ваниль)
247,Коктейль (банан)
248,Картофель фри 300 гр
248,Чизбургер
248,Сырный соус
249,Наггетсы
249,Кола
249,Сырный соус
249,Супер Комбо Обед
250,Цезарь
250,Кола
250,Ролл-цезарь
250,Греческий салат
250,Вода с газом 500 мл
250,Сырный соус
250,Вода без газа 500 мл
251,Чесночный соус
251,Чикенбургер
252,Кола
252,Стрипсы
252,Морковные палочки
252,Греческий салат
253,Коктейль (банан)
253,Стрипсы
254,Вода без газа 500 мл
254,Чесночный соус
254,Коктейль (ваниль)
255,Вода без газа 500 мл
255,Стрипсы
255,Морковные палочки
256,Картофель фри 300 гр
256,Чесночный соус
256,Сметана
257,Чизбургер
257,Кола
257,Супер Комбо Обед
257,Вода с газом 500 мл
257,Коктейль (банан)
257,Вода без газа 500 мл
258,Чизбургер
258,Кола
258,Супер Комбо Обед
258,Коктейль (ваниль)
258,Вода без газа 500 мл
258,Кетчуп
259,Кола
259,Супер Комбо Обед
259,Греческий салат
259,Чесночный соус
259,Сметана
259,Вода с газом 500 мл
259,Морковные палочки
259,Кетчуп
260,Сметана
260,Кола
260,Стрипсы
260,Морковные палочки
261,Цезарь
261,Чесночный соус
261,Сметана
261,Вода с газом 500 мл
261,Коктейль (ваниль)
261,Морковные палочки
262,Картофель фри 300 гр
262,Цезарь
262,Наггетсы
262,Чесночный соус
262,Коктейль (ваниль)
262,Сырный соус
262,Морковные палочки
263,Цезарь
263,Чесночный соус
263,Вода с газом 500 мл
263,Стрипсы
263,Кетчуп
264,Вода с газом 500 мл
264,Сырный соус
265,Греческий салат
265,Чесночный соус
265,Сметана
265,Коктейль (ваниль)
265,Вода без газа 500 мл
265,Картофель фри 200 гр
265,Морковные палочки
265,Кетчуп
266,Чизбургер
266,Сырный соус
267,Цезарь
267,Картофель фри 200 гр
267,Греческий салат
267,Кетчуп
268,Чесночный соус
268,Вода с газом 500 мл
268,Коктейль (банан)
268,Коктейль (ваниль)
268,Картофель фри 200 гр
269,Кола
269,Супер Комбо Обед
269,Ролл-цезарь
269,Чикенбургер
269,Вода без газа 500 мл
269,Стрипсы
270,Картофель фри 300 гр
270,Кола
270,Сырный соус
270,Вода без газа 500 мл
270,Морковные палочки
270,Кетчуп
271,Наггетсы
271,Чизбургер
271,Ролл-цезарь
271,Чикенбургер
271,Чесночный соус
271,Коктейль (банан)
271,Сырный соус
272,Ролл-цезарь
272,Коктейль (ваниль)
272,Сырный соус
272,Чикенбургер
273,Наггетсы
273,Цезарь
